Treatment,plant mass (g),Sample Name,Fluroscence Index,Freshness Index,Humification Index,"Peak_A(ex260,maxem(380:460))","Peak_B(ex275,em310)","Peak_T(ex275,em340)","Peak_C(ex350,maxem(420:480))","Peak_M(ex312,maxem(380:420))","CDOM(ex325,em470)","Tryptophan(ex285,em350)",MaxEM@370nm
unburned,400,1,1.566989,0.717656,4.479667,1.702632,0.650422,0.6407,0.85896,1.033315,0.801797,0.657099,462
burned,0,2,1.8492,0.825348,1.641336,0.324557,0.362764,0.35117,0.127348,0.189775,0.231361,0.294037,466
unburned,300,3,1.699132,0.720155,4.803934,1.720666,0.731333,0.651595,0.899126,0.978345,0.778571,0.620278,452
burned,5,4,1.700491,0.783645,2.163711,0.389623,0.288664,0.282295,0.190287,0.292631,0.161292,0.272386,439
unburned,250,5,1.626178,0.714749,3.705301,1.628041,0.842587,0.784052,0.834647,0.972901,0.760791,0.720548,463
burned,25,6,1.530898,0.850625,1.943713,0.360113,0.294604,0.276749,0.129451,0.184538,0.11904,0.256183,448
unburned,225,7,1.541382,0.736811,4.244376,1.325418,0.587361,0.552267,0.600016,0.772855,0.57017,0.563949,465
burned,50,8,1.558732,0.790459,2.085939,0.532643,0.398432,0.382444,0.211188,0.324737,0.201136,0.373901,450
unburned,200,9,1.621876,0.729139,4.594705,1.383433,0.490752,0.501077,0.665596,0.809567,0.603243,0.522253,464
burned,75,10,1.586321,0.868958,2.280671,0.709407,0.489877,0.440531,0.25508,0.409382,0.259692,0.437481,457
unburned,175,11,1.59851,0.71785,3.769592,1.254023,0.544128,0.560959,0.567329,0.752031,0.567604,0.505965,463
burned,100,12,1.771608,0.912012,2.158194,0.948492,0.58807,0.537865,0.366837,0.532465,0.342084,0.551757,452
unburned,150,13,1.477089,0.722087,3.456763,1.0726,0.526442,0.502587,0.497184,0.642731,0.476799,0.46717,464
burned,125,14,1.593548,0.866511,2.450301,0.934366,0.591346,0.565097,0.335176,0.488931,0.318662,0.556711,458
unburned,125,15,1.601067,0.74322,3.008267,0.997062,0.607694,0.53851,0.416533,0.519803,0.372021,0.494476,450
burned,125,16,1.839214,0.855199,2.807859,1.660425,0.936527,0.855155,0.703858,0.795892,0.578026,0.810451,457
unburned,100,17,1.481561,0.729087,2.959248,0.780113,0.482002,0.433467,0.31978,0.425408,0.319542,0.426593,449
burned,150,18,2.15392,0.753243,3.446288,3.099172,1.495195,1.480486,1.366499,1.049872,0.885586,1.285106,456
unburned,75,19,1.548913,0.865589,2.196354,0.715189,0.519646,0.481116,0.257694,0.393595,0.259275,0.420476,452
burned,175,20,1.575164,0.811026,2.828244,1.062876,0.643832,0.631885,0.423433,0.620502,0.423589,0.553548,466
unburned,50,21,1.553356,0.857419,2.068046,0.608238,0.510593,0.463182,0.233559,0.321012,0.212874,0.438785,463
burned,200,22,1.533319,0.769684,3.284738,1.30459,0.63109,0.664044,0.60902,0.819011,0.701417,0.649336,453
unburned,25,23,1.525714,0.867327,2.053455,0.364806,0.300395,0.268062,0.140081,0.204715,0.13295,0.232714,451
burned,225,24,1.600425,0.80222,2.728069,1.637357,0.939716,1.003776,0.759847,0.970762,0.705611,0.928293,457
unburned,10,25,1.704725,0.820154,1.96979,0.358432,0.31757,0.30213,0.15601,0.202601,0.129697,0.260489,448
burned,250,26,1.498184,0.783798,3.024012,1.424078,0.81758,0.762574,0.686253,0.890817,0.640678,0.764855,450
unburned,5,27,1.929577,0.803609,2.536203,0.281486,0.200064,0.192997,0.097398,0.127305,0.087285,0.180101,467
burned,300,28,1.560174,0.775194,3.202555,1.803749,0.991404,0.933628,0.911032,1.09792,0.821281,0.919591,465
unburned,0,29,1.832625,0.825689,1.857406,0.241993,0.24849,0.253102,0.098445,0.112625,0.087812,0.204511,439
burned,400,30,1.650932,0.775933,2.812201,1.843068,1.076249,1.155819,0.979765,1.140863,0.852651,1.04678,453
