Treatment,plant mass (g),Sample Name,Fluroscence Index,Freshness Index,Humification Index,"Peak_A(ex260,maxem(380:460))","Peak_B(ex275,em310)","Peak_T(ex275,em340)","Peak_C(ex350,maxem(420:480))","Peak_M(ex312,maxem(380:420))","CDOM(ex325,em470)","Tryptophan(ex285,em350)",MaxEM@370nm
unburned,400,1,1.902125,0.661796,1.905815,1.322843,1.827152,1.31544,0.856278,0.944164,0.672343,1.050319,460
burned,0,2,1.711965,0.832496,2.060864,0.253792,0.270975,0.200171,0.123366,0.134339,0.092161,0.207779,452
unburned,300,3,1.97768,0.730131,1.945197,1.128479,1.416725,0.925087,0.738313,0.759826,0.555161,0.760144,457
burned,5,4,1.832632,0.760564,2.723276,0.288622,0.192179,0.183118,0.12339,0.132065,0.096488,0.161759,453
unburned,250,5,2.123523,0.663116,3.177082,0.179573,0.157815,0.116262,0.108069,0.080994,0.078222,0.103368,462
burned,25,6,1.642773,0.735626,1.976718,0.359972,0.332536,0.297661,0.150749,0.195712,0.133668,0.289313,448
unburned,225,7,1.792797,0.726017,2.059603,0.84661,0.931029,0.719608,0.484957,0.540858,0.40158,0.61438,458
burned,50,8,1.792812,0.875434,2.205499,0.427062,0.36853,0.343011,0.204212,0.247744,0.166421,0.324717,385
unburned,200,9,1.987902,0.735535,2.090953,0.935766,1.013805,0.694393,0.583583,0.566602,0.451767,0.621774,460
burned,75,10,1.576249,0.794111,2.672798,0.625465,0.419387,0.373586,0.280219,0.328727,0.234747,0.374158,459
unburned,175,11,1.853611,0.741208,2.143112,0.870814,0.877839,0.721706,0.514855,0.51322,0.399467,0.608564,458
burned,100,12,1.77934,0.777395,2.860158,0.942963,0.564002,0.51152,0.434915,0.443272,0.328364,0.458956,461
unburned,150,13,1.784823,0.745281,1.925502,0.716753,0.844925,0.623992,0.418795,0.428772,0.332842,0.532879,453
burned,125,14,1.606851,0.799311,2.21522,0.629958,0.542956,0.507528,0.302064,0.381558,0.268593,0.468424,459
unburned,125,15,1.731227,0.76877,2.282846,0.668162,0.659717,0.531106,0.34982,0.407413,0.293433,0.456719,449
burned,125,16,1.72162,0.829551,2.356947,0.814804,0.657601,0.589165,0.401573,0.476922,0.322261,0.504334,451
unburned,100,17,1.676131,0.747111,2.422335,0.544826,0.45106,0.427238,0.27965,0.336693,0.249364,0.361606,459
burned,150,18,1.700679,0.796676,1.920041,0.829349,0.758716,0.681447,0.41569,0.507402,0.343017,0.602725,452
unburned,75,19,1.689946,0.871598,3.303913,0.61293,0.345393,0.365744,0.316433,0.372952,0.240673,0.337332,450
burned,175,20,1.726749,0.825699,1.926822,0.761599,0.750681,0.693135,0.39387,0.502778,0.342812,0.601872,446
unburned,50,21,1.61858,0.792882,2.448311,0.395189,0.297391,0.252666,0.170343,0.220073,0.158688,0.254369,461
burned,200,22,1.828643,0.812976,2.091164,1.031462,0.906924,0.738034,0.53862,0.62218,0.445529,0.650471,450
unburned,25,23,1.640392,0.752185,2.815126,0.391865,0.334058,0.271429,0.171815,0.215506,0.149431,0.245937,445
burned,225,24,1.734368,0.794279,1.962742,0.954939,0.976366,0.768637,0.565125,0.685587,0.462313,0.702088,451
unburned,10,25,1.753953,0.746207,2.310291,0.330582,0.274821,0.230248,0.14069,0.170164,0.119895,0.224545,452
burned,250,26,1.776577,0.776152,1.837105,0.99415,1.16596,0.879382,0.586801,0.683194,0.457223,0.768124,451
unburned,5,27,1.753118,0.752687,2.687531,0.258387,0.160885,0.155077,0.117008,0.131599,0.092218,0.134794,464
burned,300,28,1.786639,0.787047,1.847676,1.430807,1.420291,1.200523,0.883448,0.980197,0.696392,1.002129,453
unburned,0,29,1.711965,0.832496,2.060864,0.253792,0.270975,0.200171,0.123366,0.134339,0.092161,0.207779,452
burned,400,30,2.187255,0.667518,1.929962,2.755027,3.632256,2.629559,2.92756,1.698245,1.740896,1.985707,462
