Treatment,plant mass (g),Sample Name,Fluroscence Index,Freshness Index,Humification Index,"Peak_A(ex260,maxem(380:460))","Peak_B(ex275,em310)","Peak_T(ex275,em340)","Peak_C(ex350,maxem(420:480))","Peak_M(ex312,maxem(380:420))","CDOM(ex325,em470)","Tryptophan(ex285,em350)",MaxEM@370nm
unburned,400,1,1.923849,1.363067,0.736968,15.283731,35.817459,15.080301,5.23522,31.434787,11.718036,11.186615,465
burned,0,2,0,0,0.885138,0.017807,0,0,0.006752,0.007517,0,0.006739,532
unburned,300,3,2.036075,1.363339,0.803051,12.110831,25.007814,11.187104,6.109154,29.396613,9.621824,8.815079,467
burned,5,4,1.872486,0.692535,2.657998,0.270531,0.293749,0.188866,0.149769,0.204865,0.120005,0.163222,463
unburned,250,5,1.035097,1.090874,1.304958,10.129476,35.992013,10.590859,13.656832,28.070135,11.852122,6.517687,439
burned,25,6,1.955071,0.711274,2.677129,0.341071,0.365154,0.210782,0.155482,0.274786,0.12827,0.188129,466
unburned,225,7,2.109565,0.599938,1.443366,2.385839,5.865431,3.18244,3.94137,1.543838,1.887361,2.108354,466
burned,50,8,1.652074,0.73105,2.84595,0.432585,0.344935,0.255079,0.187909,0.320352,0.162679,0.236536,464
unburned,200,9,1.158093,1.393967,3.438773,9.353012,7.528117,4.350687,12.230072,26.717823,10.455748,4.797649,441
burned,75,10,1.741084,0.785116,1.611018,0.517652,0.790681,0.52157,0.273154,0.349171,0.236824,0.436245,458
unburned,175,11,1.812978,1.069199,1.221087,5.356804,21.442794,5.530823,9.080467,22.658046,4.790808,3.521092,451
burned,100,12,1.798193,0.773286,1.699512,0.613172,0.811934,0.618186,0.338865,0.413384,0.279852,0.515932,462
unburned,150,13,2.433875,0.666996,2.39245,2.284158,3.253979,1.956156,3.588294,6.325337,1.76507,1.586999,463
burned,125,14,1.829608,0.748428,1.658133,0.831209,1.22656,0.871468,0.562077,0.789708,0.411575,0.704124,463
unburned,125,15,1.864886,0.656975,1.510755,0.81267,1.339974,0.964844,0.57257,0.559467,0.434196,0.76894,467
burned,125,16,1.801144,0.761706,1.396407,0.864532,1.398603,1.035376,0.528797,0.689535,0.441142,0.856711,458
unburned,100,17,2.002893,0.639685,1.489286,0.837707,1.603673,0.959396,0.663039,0.571424,0.4828,0.713804,464
burned,150,18,2.058131,0.768866,1.509424,1.094761,1.642808,1.317743,0.810653,0.79021,0.578855,1.057614,458
unburned,75,19,1.688883,0.667152,1.743033,0.447102,0.637973,0.472369,0.230124,0.300931,0.199476,0.379452,467
burned,175,20,2.125487,0.726653,1.40747,1.151015,2.177439,1.378742,1.001634,0.955387,0.684653,1.093449,466
unburned,50,21,1.744249,0.660933,1.639814,0.391826,0.696655,0.367412,0.197027,0.302796,0.18106,0.291313,448
burned,200,22,2.086012,0.714297,1.802252,1.823278,2.368369,1.874101,1.6619,1.095651,1.042363,1.534593,464
unburned,25,23,1.556071,0.623757,2.033474,0.322398,0.461322,0.228118,0.13942,0.201359,0.135563,0.182892,457
burned,225,24,2.086319,0.700705,1.370745,2.710581,7.663831,3.287102,3.366508,7.088007,1.849322,2.399431,466
unburned,10,25,2.11144,0.682023,1.888145,0.273016,0.236323,0.148702,0.139833,0.211936,0.11366,0.142121,464
burned,250,26,2.043958,0.705018,1.435006,2.798464,5.252464,3.260231,3.176149,8.8281,1.859096,2.686198,465
unburned,5,27,1.620586,0.725859,3.0993,0.246783,0.16936,0.140438,0.103503,0.138768,0.095395,0.131053,449
burned,300,28,1.731444,0.72979,0.802601,5.93759,32.271551,10.699372,9.492323,20.679954,5.394302,6.592664,453
unburned,0,29,1.932558,0.739463,3.31362,0.244489,0.206386,0.128686,0.118384,0.299326,0.106901,0.124155,469
burned,400,30,1.071281,0.597293,0.81404,10.328756,53.438659,14.725469,17.018122,17.224281,11.211011,8.141704,440
